CatalogID,Release,Type,Product,Domain,Resolution,Deprecated,MinDate,MaxDate,MinYear,MaxYear,TimeSeriesType,TimeSeriesRegularity,DataType,DataUnit,DataScaleFactor,DataOffset,Data.URL,Metadata.URL,ColorRampDefault
R1D026,Release1,Vegetation,Leaf-on Digital Surface Model,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_dsm_1m_v2_metadata.xml,continuous
R1D027,Release1,Vegetation,Vegetation Canopy Height,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_canopy_ht_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_canopy_ht_1m_v2_metadata.xml,continuous
R2D001,Release2,Planning,Summer Travel Time,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,minutes,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_access_minutes_summer_1m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_access_minutes_summer_1m_v3_metadata.xml,continuous
R2D002,Release2,Planning,Winter Travel Time,UER,1m,FALSE,1/1/19,1/1/19,2019,2019,Single,Regular,numeric,minutes,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_access_minutes_winter_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_access_minutes_winter_1m_v1_metadata.xml,continuous
R2D003,Release2,Radiation,Spring Bare-earth Solar Radiation,UER,3m,FALSE,4/20/18,4/20/18,2018,2018,Single,Regular,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day080_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day080_3m_v1_metadata.xml,continuous
R2D004,Release2,Radiation,Summer Bare-earth Solar Radiation,UER,3m,FALSE,6/21/18,6/21/18,2018,2018,Single,Regular,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day172_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day172_3m_v1_metadata.xml,continuous
R2D005,Release2,Radiation,Fall Bare-earth Solar Radiation,UER,3m,FALSE,9/23/18,9/23/18,2018,2018,Single,Regular,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day265_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day265_3m_v1_metadata.xml,continuous
R2D006,Release2,Radiation,Winter Bare-earth Solar Radiation,UER,3m,FALSE,12/21/18,12/21/18,2018,2018,Single,Regular,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day355_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_bareearth_day355_3m_v1_metadata.xml,continuous
R2D007,Release2,Radiation,Spring Subcanopy Solar Radiation,UER,3m,FALSE,4/20/18,4/20/18,2018,2018,Single,Regular,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day080_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day080_3m_v1_metadata.xml,continuous
R2D008,Release2,Radiation,Summer Subcanopy Solar Radiation,UER,3m,FALSE,6/21/18,6/21/18,2018,2018,Single,Regular,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day172_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day172_3m_v1_metadata.xml,continuous
